iter	Passed	Remaining
670	1171	574
671	1172	572
672	1173	570
673	1174	568
674	1175	565
675	1176	564
676	1178	562
677	1179	560
678	1180	558
679	1181	556
680	1183	554
681	1184	552
682	1185	550
683	1186	548
684	1187	545
685	1188	543
686	1189	541
687	1190	539
688	1191	537
689	1192	535
690	1193	533
691	1194	531
692	1195	529
693	1196	527
694	1197	525
695	1198	523
696	1199	521
697	1200	519
698	1201	517
699	1202	515
700	1203	513
701	1204	511
702	1205	509
703	1206	507
704	1207	505
705	1208	503
706	1209	501
707	1210	499
708	1211	497
709	1212	495
710	1213	493
711	1214	491
712	1215	489
713	1216	487
714	1217	485
715	1218	483
716	1219	481
717	1220	479
718	1221	477
719	1222	475
720	1224	473
721	1225	471
722	1226	469
723	1227	467
724	1228	465
725	1229	463
726	1230	461
727	1231	460
728	1232	458
729	1233	456
730	1234	454
731	1235	452
732	1236	450
733	1238	448
734	1239	446
735	1240	444
736	1241	443
737	1242	441
738	1243	439
739	1244	437
740	1246	435
741	1247	433
742	1248	431
743	1249	429
744	1250	427
745	1251	426
746	1252	424
747	1254	422
748	1255	420
749	1256	418
750	1257	416
751	1258	415
752	1260	413
753	1261	411
754	1262	409
755	1263	407
756	1264	406
757	1266	404
758	1267	402
759	1268	400
760	1270	398
761	1271	397
762	1272	395
763	1274	393
764	1275	391
765	1277	390
766	1278	388
767	1279	386
768	1281	384
769	1282	383
770	1283	381
771	1285	379
772	1287	378
773	1288	376
774	1290	374
775	1291	372
776	1293	371
777	1294	369
778	1295	367
779	1297	365
780	1299	364
781	1300	362
782	1302	360
783	1303	359
784	1306	357
785	1307	355
786	1308	354
787	1310	352
788	1311	350
789	1313	349
790	1315	347
791	1316	345
792	1318	344
793	1320	342
794	1321	340
795	1323	339
796	1325	337
797	1327	335
798	1329	334
799	1330	332
800	1332	331
801	1334	329
802	1336	327
803	1338	326
804	1340	324
805	1342	323
806	1344	321
807	1346	319
808	1348	318
809	1350	316
810	1352	315
811	1354	313
812	1356	312
813	1358	310
814	1360	308
815	1362	307
816	1364	305
817	1366	304
818	1368	302
819	1370	300
820	1372	299
821	1375	297
822	1377	296
823	1380	294
824	1382	293
825	1384	291
826	1386	289
827	1388	288
828	1390	286
829	1392	285
830	1393	283
831	1396	281
832	1397	280
833	1399	278
834	1400	276
835	1402	275
836	1405	273
837	1407	272
838	1409	270
839	1411	268
840	1413	267
841	1414	265
842	1416	263
843	1418	262
844	1420	260
845	1422	258
846	1424	257
847	1426	255
848	1427	253
849	1429	252
850	1431	250
851	1433	248
852	1435	247
853	1437	245
854	1439	244
855	1442	242
856	1443	240
857	1445	239
858	1446	237
859	1448	235
860	1450	234
861	1452	232
862	1453	230
863	1455	229
864	1457	227
865	1459	225
866	1461	224
867	1463	222
868	1465	220
869	1468	219
870	1469	217
871	1471	215
872	1472	214
873	1474	212
874	1476	210
875	1477	209
876	1479	207
877	1481	205
878	1483	204
879	1484	202
880	1486	200
881	1488	199
882	1489	197
883	1491	195
884	1493	194
885	1494	192
886	1496	190
887	1497	188
888	1499	187
889	1500	185
890	1502	183
891	1503	182
892	1504	180
893	1506	178
894	1507	176
895	1509	175
896	1510	173
897	1512	171
898	1513	170
899	1514	168
900	1516	166
901	1517	164
902	1518	163
903	1520	161
904	1521	159
905	1522	158
906	1523	156
907	1525	154
908	1526	152
909	1527	151
910	1529	149
911	1530	147
912	1531	145
913	1532	144
914	1534	142
915	1535	140
916	1536	139
917	1537	137
918	1539	135
919	1540	133
920	1541	132
921	1543	130
922	1544	128
923	1545	127
924	1547	125
925	1548	123
926	1549	122
927	1550	120
928	1552	118
929	1553	116
930	1554	115
931	1556	113
932	1557	111
933	1558	110
934	1559	108
935	1560	106
936	1562	105
937	1563	103
938	1564	101
939	1565	99
940	1567	98
941	1568	96
942	1569	94
943	1570	93
944	1571	91
945	1573	89
946	1574	88
947	1575	86
948	1576	84
949	1578	83
950	1580	81
951	1581	79
952	1583	78
953	1584	76
954	1585	74
955	1586	73
956	1588	71
957	1589	69
958	1590	68
959	1592	66
960	1593	64
961	1594	62
962	1595	61
963	1596	59
964	1597	57
965	1599	56
966	1600	54
967	1601	52
968	1602	51
969	1603	49
970	1604	47
971	1605	46
972	1606	44
973	1607	42
974	1608	41
975	1609	39
976	1610	37
977	1611	36
978	1612	34
979	1613	32
980	1614	31
981	1615	29
982	1616	27
983	1617	26
984	1618	24
985	1619	22
986	1620	21
987	1621	19
988	1622	18
989	1623	16
990	1624	14
991	1625	13
992	1626	11
993	1627	9
994	1628	8
995	1629	6
996	1631	4
997	1632	3
998	1633	1
999	1634	0
